frankenstein word,frankenstein count,call of the wild word,call of the wild count
henry,26,remained,12
live,26,set,12
lovely,26,sleep,12
means,26,sweater,12
murderer,26,thousand,12
others,26,travel,12
perceived,26,trees,12
quickly,26,use,12
seek,26,valley,12
suddenly,26,above,11
town,26,always,11
cousin,25,ate,11
desired,25,big,11
died,25,both,11
greater,25,circle,11
having,25,cunning,11
head,25,curly,11
rage,25,distance,11
sat,25,dragged,11
sight,25,ebook,11
spent,25,fall,11
spoke,25,few,11
william,25,front,11
wood,25,half-breed,11
wretch,25,heart,11
always,24,heem,11
anguish,24,instant,11
chapter,24,judge,11
degree,24,killed,11
die,24,lived,11
door,24,nature,11
end,24,paragraph,11
filled,24,running,11
fire,24,second,11
fixed,24,snarling,11
give,24,soft,11
hour,24,start,11
natural,24,take,11
occupied,24,terrible,11
revenge,24,tongue,11
safie,24,will,11
turned,24,yeehats,11
wish,24,access,10
wretched,24,beaten,10
appear,23,best,10
body,23,broken,10
cottagers,23,bull,10
creatures,23,carried,10
dead,23,close,10
destroyed,23,comes,10
endured,23,coming,10
enemy,23,country,10
evil,23,fact,10
find,23,far,10
home,23,fashion,10
imagination,23,frost,10
lived,23,greater,10
longer,23,kill,10
m,23,lash,10
say,23,laughed,10
sweet,23,learned,10
attention,22,mad,10
beings,22,main,10
care,22,meat,10
destroy,22,might,10
destruction,22,money,10
followed,22,neither,10
foundation,22,poor,10
hopes,22,public,10
itself,22,refund,10
leave,22,returned,10
promise,22,same,10
quitted,22,sat,10
remain,22,save,10
sound,22,say,10
take,22,shoulders,10
unable,22,strong,10
account,21,suddenly,10
against,21,themselves,10
agatha,21,those,10
answer,21,threw,10
brother,21,timber,10
england,21,trademark,10
father's,21,trouble,10
formed,21,united,10
future,21,watched,10
heaven,21,weight,10
moon,21,why,10
murder,21,agree,9
object,21,alive,9
observed,21,almost,9
perhaps,21,began,9
person,21,below,9
received,21,beyond,9
remember,21,breed,9
sleep,21,bristling,9
stranger,21,dozen,9
suffered,21,during,9
true,21,ears,9
vengeance,21,eh,9
wonder,21,ever,9
youth,21,fair,9
acquainted,20,fang,9
alas,20,five,9
allowed,20,food,9
between,20,francois's,9
calm,20,free,9
creation,20,frozen,9
creator,20,further,9
deeply,20,give,9
different,20,hairy,9
drew,20,hours,9
enter,20,hunting,9
entirely,20,including,9
face,20,keep,9
hear,20,lying,9
language,20,marked,9
look,20,mouth,9
murdered,20,places,9
path,20,rushed,9
purpose,20,several,9
seen,20,shook,9
set,20,sight,9
sufficient,20,six,9
trees,20,sounding,9
use,20,staggered,9
visit,20,stream,9
way,20,tried,9
went,20,turn,9
wished,20,warm,9
woman,20,wide,9
approached,19,within,9
blood,19,animal,8
children,19,arms,8
covered,19,associated,8
dared,19,bad,8
deep,19,blind,8
easily,19,chest,8
exclaimed,19,circled,8
god,19,clubs,8
health,19,condition,8
high,19,copies,8
history,19,crate,8
innocent,19,creek,8
just,19,darkness,8
learned,19,delight,8
manners,19,domain,8
melancholy,19,effort,8
none,19,falling,8
pain,19,fee,8
progress,19,fifty,8
sank,19,fled,8
spot,19,forty,8
steps,19,general,8
study,19,growled,8
sympathy,19,has,8
task,19,information,8
agreement,18,it's,8
because,18,king,8
consolation,18,laws,8
continually,18,let,8
conversation,18,light,8
courage,18,making,8
course,18,master,8
departure,18,me,8
determined,18,met,8
discovery,18,moment,8
dream,18,nest,8
endure,18,packed,8
engaged,18,paid,8
events,18,past,8
eye,18,play,8
fate,18,quick,8
fell,18,rabbit,8
given,18,ration,8
go,18,reason,8
innocence,18,runners,8
land,18,section,8
led,18,sharp,8
lips,18,showed,8
memory,18,silent,8
necessary,18,since,8
opened,18,small,8
passion,18,southland,8
proceeded,18,speech,8
rendered,18,standing,8
small,18,state,8
sought,18,sun,8
subject,18,sure,8
surrounded,18,swung,8
thy,18,tired,8
unhappy,18,trace,8
across,17,travelled,8
afterwards,17,trip,8
black,17,watching,8
bound,17,winter,8
dearest,17,wounded,8
discover,17,young,8
does,17,-,7
half,17,appeared,7
ill,17,backward,7
labours,17,become,7
laws,17,boat,7
letters,17,bones,7
moments,17,breaking,7
pursue,17,ceased,7
quit,17,certain,7
reflect,17,change,7
retired,17,chapter,7
short,17,covered,7
something,17,crossed,7
son,17,cry,7
support,17,dark,7
understand,17,distributing,7
vessel,17,driving,7
visited,17,drove,7
wonderful,17,dub,7
asked,16,earth,7
bitter,16,eat,7
boat,16,ebooks,7
crime,16,enough,7
darkness,16,ere,7
extreme,16,express,7
heavens,16,faced,7
information,16,fighting,7
ingolstadt,16,firewood,7
instantly,16,fish,7
misfortune,16,flesh,7
misfortunes,16,flying,7
mountain,16,follow,7
name,16,following,7
names,16,fourteen,7
pass,16,fresh,7
period,16,friendly,7
pursuit,16,gathered,7
reflections,16,good-natured,7
restored,16,hal's,7
rose,16,hold,7
scenes,16,however,7
seized,16,howling,7
shore,16,judge's,7
sounds,16,knees,7
union,16,lake,7
united,16,large,7
walked,16,led,7
water,16,leg,7
wept,16,likewise,7
awoke,15,lips,7
back,15,managed,7
close,15,manuel,7
cried,15,matthewson,7
daemon,15,mile,7
departed,15,moose,7
describe,15,near,7
distance,15,nig,7
donations,15,odds,7
early,15,opportunity,7
excellent,15,particularly,7
expression,15,patience,7
horrible,15,permission,7
labour,15,pitched,7
license,15,pool,7
marriage,15,primordial,7
overcome,15,proceeded,7
philosophy,15,provide,7
powers,15,quarter,7
produced,15,raised,7
public,15,receive,7
put,15,remembered,7
rain,15,required,7
reflected,15,rise,7
remorse,15,shock,7
right,15,skeet,7
silent,15,sleeping,7
smiles,15,slept,7
